,Genes
415,CLPTM1L
416,COPA
417,ETS1
418,DYNLRB1
419,RAB11FIP1
420,SELENOH
421,CLIP1
422,AFF4
423,PLEC
424,TCF25
425,PNISR
426,SRPRA
427,TAX1BP1
428,PTPN12
429,BMPR2
430,FCGRT
431,SERPINB6
432,UFC1
433,SETD5
434,SPATS2L
435,ITPR3
436,SP100
437,MT-ATP6
438,C11orf58
439,SNRNP200
440,GPNMB
441,STK24
442,TFRC
443,ELN
444,SDC1
445,EDEM1
446,ARAP1
447,ITGB1
448,EVL
449,UQCR10
450,VPS13B
451,DCAF8
452,CSNK1D
453,EML4
454,MXRA7
455,SPG7
456,TOP1
457,EFCAB14
458,SLC9A3R2
459,PPP4R1
460,RHOC
461,TUFM
462,YAP1
463,GRINA
464,SRSF2
465,CD68
466,PLAAT4
467,NDFIP1
468,RUNX1
469,LRPAP1
470,PLS3
471,NDUFV2
472,TMEM50A
473,NFKBIZ
474,SERPINH1
475,AKAP13
476,STX16
477,TRIM8
478,CPM
479,ENAH
480,NDUFA2
481,CLDN4
482,CAV1
483,EHD2
484,PBX2
485,RAB13
486,EIF5
487,RBM6
488,CORO1C
489,CCND1
490,KLF2
491,HDLBP
492,UBXN4
493,MAF1
494,NDUFB9
495,SAMHD1
496,ZNF644
497,SEC62
498,ADD1
499,NUCKS1
500,HNRNPU
501,MICOS10
502,TLE5
503,LMAN1
504,C1QB
505,NCOA7
506,ATRX
507,MYLK
508,CEBPB
509,EIF3B
510,LAPTM5
511,COPB1
512,NPLOC4
513,ETS2
514,MLLT6
515,TMEM59
516,PLXDC2
517,VAT1
518,CALR
519,STAG2
520,WDR33
521,CLTA
522,SLC38A10
523,STAT2
524,BAG6
525,GOLPH3
526,SOCS3
527,RAB10
528,NEDD4L
529,NKX2-1
530,ILF3
531,HNRNPUL2
532,RANBP9
533,USF2
534,TRIM22
535,CDC37
536,VASP
537,F11R
538,CD81
539,PLEKHB2
540,B4GALT1
541,SFTA3
542,SCP2
543,TNIP1
544,EP300
545,TSPO
546,FOXP1
547,LRP1
548,AKR1A1
549,CYBA
550,AFDN
551,ASH1L
552,LAMTOR1
553,REEP5
554,UGCG
555,PPP1R12B
556,ARIH1
557,EIF4EBP2
