,Genes
1696,MAGED1
1697,ARF5
1698,GRAMD1A
1699,FAM120AOS
1700,SMURF1
1701,DYNC1I2
1702,UCP2
1703,SNRPB
1704,OCIAD2
1705,CFDP1
1706,NR2F2
1707,ENC1
1708,NBR1
1709,CHST11
1710,UBE2L6
1711,PHACTR2
1712,PCBD1
1713,SMARCC2
1714,ACAP2
1715,ACTR1B
1716,ATP6AP2
1717,GLUD1
1718,ERBB2
1719,CNOT2
1720,TXLNA
1721,SOD3
1722,CXCL2
1723,HSPA1B
1724,CEP350
1725,CDIPT
1726,CSNK1E
1727,AKAP8L
1728,CHKB
1729,SNRK
1730,CDC42BPA
1731,KLF9
1732,GPATCH2L
1733,VEZF1
1734,NDUFS6
1735,GLRX
1736,KIAA0319L
1737,AIF1
1738,ATP6V1A
1739,TPD52
1740,CCNK
1741,ATF6B
1742,MXRA8
1743,SUN1
1744,CBFB
1745,PLEKHM2
1746,MTUS1
1747,EPB41L2
1748,NABP1
1749,IK
1750,DNAJC5
1751,LIMA1
1752,ANP32E
1753,RTF1
1754,SF3B4
1755,NECTIN2
1756,RASA2
1757,RNF19B
1758,POLDIP3
1759,USP4
1760,ECHDC2
1761,ZNF664
1762,ARMCX3
1763,USF1
1764,TUBB
1765,SARAF
1766,C1orf21
1767,SLCO2B1
1768,SH3GLB2
1769,SAMD4B
1770,KDM3B
1771,SLC12A7
1772,MAFK
1773,RAI14
1774,CAMK2N1
1775,MYO1C
1776,EIF5B
1777,ELOA
1778,SRM
1779,YWHAQ
1780,NTN4
1781,PA2G4
1782,TXNDC12
1783,TRIO
1784,SRPK1
1785,METRNL
1786,SLU7
1787,RAPGEF1
1788,NUB1
1789,IFNAR1
1790,STX3
1791,ZBTB7A
1792,ARPIN
1793,TMEM43
1794,SS18
1795,LARP4B
1796,SPECC1L
1797,GOLIM4
1798,SAP18
1799,HSPE1
1800,ZSWIM8
1801,SPPL2A
1802,TRIP10
1803,FLNB
1804,C16orf89
1805,UBL5
1806,WBP1L
1807,MAP2K3
1808,MS4A6A
1809,ZNF358
1810,S100A14
1811,MSI2
1812,PPP3CA
1813,PCNX1
1814,AP1B1
1815,GSE1
1816,UGDH
1817,C1orf116
1818,WASL
1819,CWC15
1820,MYDGF
1821,PPWD1
1822,CNPY2
1823,ARAF
1824,LCOR
1825,PITPNA
1826,SUGP2
1827,CD52
1828,KRTCAP2
1829,SRP19
1830,CAPN7
1831,DYM
1832,ATF3
1833,BAIAP2L1
1834,OCLN
1835,UBXN1
1836,TALDO1
1837,OGDH
1838,TENT2
1839,POLDIP2
1840,STK39
1841,IDH2
1842,NDUFAB1
1843,MEF2D
1844,ITPKC
1845,FAM114A1
1846,SLFN11
1847,ST14
1848,FMO2
1849,RGL2
1850,PEX2
1851,ZMPSTE24
1852,SECISBP2
1853,CAVIN1
1854,ATP5MF
1855,TYK2
1856,GOLGA2
1857,HM13
1858,DDRGK1
1859,ADD3
1860,COX8A
1861,UBE2E3
1862,APOL1
1863,RNF141
1864,SMS
1865,UBE2V1
1866,ATRAID
1867,MAP3K11
1868,IGFBP2
1869,GSDMD
1870,ESD
1871,SMAD7
1872,TUT4
1873,LAMA5
1874,EIF4G2
1875,UBR4
1876,SF3B5
1877,JAK1
1878,ORMDL3
1879,PTAR1
1880,MCM7
1881,GIPC1
1882,TENT4A
1883,STK25
1884,SSR4
1885,ANKRD13A
1886,AMFR
1887,EI24
1888,CKB
1889,STX10
1890,STARD3NL
1891,LSM4
1892,CD276
1893,KDM5A
1894,KANSL3
1895,MCCC1
1896,CIB1
1897,VKORC1
1898,YWHAG
1899,JDP2
1900,PPHLN1
1901,RBM17
1902,DCTD
1903,SEC61A1
1904,SYMPK
1905,GGNBP2
1906,NDUFC2
1907,SAR1B
1908,UXT
1909,NUDT3
1910,PABPC1L
1911,CLCC1
1912,SPG11
1913,NUDT21
1914,C4BPA
1915,KLF10
1916,PCYOX1
1917,ENTPD4
1918,LIMS2
1919,PACSIN2
1920,SYNE1
1921,BCR
1922,TMEM50B
1923,HSPG2
1924,CD163
1925,DNAJB11
1926,INHBA
1927,GUSB
1928,SF3B3
1929,VPS4A
1930,ITGB2
1931,UQCR11
1932,WDFY1
1933,VPS45
1934,GNG10
1935,KLHL5
1936,ASAP1
1937,DLG1
1938,ARHGAP12
1939,PRSS8
1940,SND1
1941,ROCK2
1942,COPS2
1943,DDX23
1944,MIER1
1945,CD14
1946,RAPGEF5
1947,CPE
1948,SELENOT
1949,PTK2B
1950,EXOC4
1951,FNBP1L
1952,TMEM109
1953,SMARCB1
1954,MSR1
1955,CHD4
1956,RAP2A
1957,C1orf43
1958,SNAP23
1959,BTBD2
1960,ISG15
1961,CDH11
1962,PHLDB1
1963,HNRNPLL
1964,EGFR
1965,ATAD1
1966,NFKB1
1967,CANX
1968,CARHSP1
1969,PPP6C
1970,NDUFC1
1971,SLC1A5
1972,PDLIM7
1973,NPNT
1974,RO60
1975,ADPGK
1976,VPS35L
1977,GADD45B
1978,MYO9B
1979,IWS1
1980,OCIAD1
1981,ITSN2
1982,ZFR
1983,PHF1
1984,SOD1
1985,MECOM
1986,EIF1
1987,TNFRSF21
1988,ELOVL1
1989,SP3
1990,RGS3
1991,KLF4
1992,RHOT1
1993,PCMTD2
1994,SRSF3
1995,CALCRL
1996,WDR45B
1997,OSBP
1998,TIMM10B
1999,RPN1
2000,UBLCP1
2001,MLX
2002,CHD1
2003,TMC6
2004,NUS1
2005,ATP5ME
2006,KIAA1217
2007,EEA1
2008,ATF6
2009,PLEKHO2
2010,ZNF106
2011,BTBD1
2012,PMM1
2013,ZBTB38
2014,IDH3B
2015,HSDL2
2016,CERT1
2017,RRAS
2018,TMEM14C
2019,PTK7
2020,CHSY1
2021,MACC1
2022,STX2
2023,CDK9
2024,DVL3
2025,PKIG
2026,ARFGEF1
2027,ICA1
2028,BCL6
2029,SLC25A24
2030,PHC3
2031,VAPA
2032,PPIG
2033,ZC3HAV1
2034,VPS36
2035,CKLF
2036,UAP1
2037,AMOTL2
2038,YIPF4
2039,DCAF5
2040,FBN1
2041,EPC1
2042,COX4I1
2043,UBE2Z
2044,OTUD5
2045,NUP58
2046,LGALS8
2047,ARHGAP26
2048,IMMT
2049,MED25
2050,IGFBP3
2051,RAB21
2052,CORO1A
2053,AKT3
2054,NCOA4
2055,SON
2056,AGR3
2057,ARL4C
2058,ID2
2059,MCRS1
2060,SVIL
2061,TRAPPC9
2062,TCEA3
2063,R3HDM2
2064,SESTD1
2065,LRRC47
2066,RAD23A
2067,MAN2B1
2068,COPZ1
2069,SDCCAG8
2070,SLBP
2071,DPM1
2072,AVL9
2073,DAG1
2074,PGRMC2
2075,HDAC1
2076,NUP98
2077,NSA2
2078,UBE3A
2079,EIF3G
2080,EIF4B
2081,KLF5
2082,TMPRSS2
2083,ABI3BP
2084,BANF1
2085,APPL1
2086,IQSEC1
2087,ARL8A
2088,DDT
2089,SREBF2
2090,UBE3C
2091,AGPAT1
2092,CCDC88A
2093,RHOT2
2094,AIMP1
2095,FOXN3
2096,DENND11
2097,SERBP1
2098,TBC1D15
2099,HES1
2100,NSUN2
2101,RGL1
2102,TNKS2
2103,TMEM168
2104,CFH
2105,COLEC12
2106,HUWE1
2107,MPHOSPH8
2108,STARD3
2109,TTYH3
2110,ANKRD28
2111,LEMD2
2112,SCAMP2
2113,DUSP23
2114,ITPR1
2115,SPTLC2
2116,R3HDM4
2117,USP16
2118,DHX9
2119,CTNNBIP1
2120,PPP4R3A
2121,HMCN1
2122,FDFT1
2123,PTPRM
2124,HSPB8
2125,ZNF33A
2126,TASOR
2127,CPNE3
2128,RALGAPB
2129,CCDC124
2130,STXBP1
2131,CCNY
2132,CUL5
2133,ETV6
2134,NAB1
2135,COPE
2136,TIMM13
2137,PURB
2138,ANKFY1
2139,GTPBP6
2140,CREBRF
2141,VPS13A
2142,MSL1
2143,CAVIN2
2144,ZMYM4
2145,NAA60
2146,REEP3
2147,TNRC18
2148,MRTFA
2149,CKAP4
2150,ZNF410
2151,COL14A1
2152,THOC2
2153,WDTC1
2154,CCDC12
2155,SDHA
2156,PSMC4
2157,PSME4
2158,PSMB2
2159,ARIH2
2160,PGM1
2161,AUP1
2162,PCF11
2163,NCOA3
2164,EIF4G1
2165,PACS1
2166,RNASEK
2167,ATP11B
2168,BROX
2169,FBXW4
2170,FNTA
2171,MAP3K2
2172,LIX1L
2173,GNB4
2174,PIP5K1A
2175,ERICH1
2176,INPP5B
2177,FILIP1L
2178,MAP3K7
2179,TXNDC15
2180,NUTF2
2181,SCAMP4
2182,NPEPL1
2183,MRC1
2184,PARD3
2185,COPS6
2186,LDLR
2187,SSU72
2188,ATP5F1B
2189,TRA2B
2190,RHOBTB3
2191,SORL1
2192,TPRG1L
2193,PIM2
2194,SYNRG
2195,SNX25
2196,BCAR1
2197,BCL2L2
2198,SNX19
2199,RNF11
2200,CRISPLD2
2201,SMAD4
2202,SPOP
2203,MTG1
2204,TFE3
2205,TTLL5
2206,QRICH1
2207,ANXA3
2208,RAB18
2209,MEF2A
2210,CDC42EP1
2211,CHPF
2212,CTHRC1
2213,ARMH3
2214,ELF1
2215,SNRNP70
2216,RAB25
2217,COA3
2218,DESI2
2219,SNX4
2220,AP2A1
2221,EPS8
2222,HMG20B
2223,SDR39U1
2224,NUP153
2225,PLA2G12A
2226,ACACA
2227,CHMP1A
2228,PRNP
2229,POR
2230,SEM1
2231,MFGE8
2232,JOSD1
2233,IFRD1
2234,CPSF6
2235,UNC50
2236,ZBTB44
2237,SCAF8
2238,ANK3
2239,GATAD2B
2240,CDC42BPB
2241,ORMDL1
2242,MAGT1
2243,AXL
2244,TRAP1
2245,PUF60
2246,PRELP
2247,SEC63
2248,CUL4B
2249,TNC
2250,TCERG1
2251,KPNB1
2252,PRPF39
2253,USP24
2254,NDUFAF3
2255,POSTN
2256,PLEKHA5
2257,MOGS
2258,SACM1L
2259,MYD88
2260,LEPROTL1
2261,TNPO3
2262,SPSB1
2263,ARHGEF17
2264,ERCC1
2265,ABI1
2266,MOCS2
2267,ILF2
2268,NOTCH2
2269,MPZL2
2270,MGRN1
2271,SELENOK
2272,FNIP2
2273,GNPTG
2274,ERN1
2275,ZNHIT1
2276,MAN1A1
2277,AGPAT3
2278,PCGF3
2279,KDM3A
2280,PI4KB
2281,MICALL2
2282,ATP5F1D
2283,TNS2
2284,NRBP2
2285,DECR1
2286,AGPAT2
2287,ATP9B
2288,FOSL2
2289,TADA3
2290,ATP9A
2291,SNX27
2292,CCNDBP1
2293,ATXN7L3B
2294,ZCRB1
2295,HERC2
2296,MAP3K5
2297,ERGIC1
2298,RABGGTB
2299,TGFBR1
2300,SRRT
2301,DNAJC7
2302,SF3B2
2303,ATL2
2304,CREB1
2305,EIF2S1
2306,SLC8A1
2307,EXOC5
2308,SRP68
2309,SP110
2310,TRIM25
2311,PDZD8
2312,CDKN1B
2313,NEMF
2314,MED15
2315,FXYD6
2316,DSP
2317,PURA
2318,STRAP
2319,SMTN
2320,UBE2R2
2321,SH3BGRL
2322,NKD2
2323,TP53BP2
2324,SLC2A4RG
2325,AGR2
2326,ACO2
2327,KHNYN
2328,ABRACL
2329,AGAP1
2330,SLC15A3
2331,ARFIP2
2332,CLK4
2333,AKAP17A
2334,MRNIP
2335,MAP4K5
2336,ABL1
2337,PSENEN
2338,YTHDF2
2339,VAMP2
2340,HCFC1R1
2341,YTHDC2
2342,RAB4A
2343,TRIP6
2344,STX6
2345,PLEKHF2
2346,HMGN4
2347,ZDHHC16
2348,GATAD2A
2349,NDST1
2350,PDHB
2351,SPOCK2
2352,CXCL12
2353,CELSR1
2354,INTS10
2355,CES1
2356,SCYL1
2357,UBTF
2358,AKIRIN2
2359,SAT2
2360,CKAP5
2361,MAX
2362,GGA1
2363,DELE1
2364,TLR2
2365,SFPQ
2366,DNAJB1
2367,CCND2
2368,DUSP16
2369,NAMPT
2370,PTPN13
2371,ACOT9
2372,RPN2
2373,COG4
2374,PAN3
2375,SNTB1
2376,BEX4
2377,FEM1B
2378,TNFRSF10B
2379,NDUFB8
2380,TMBIM4
2381,NLRC5
2382,BCAP31
2383,OTUB1
2384,RAC2
2385,TANC2
2386,YY1AP1
2387,PCMT1
2388,FYTTD1
2389,TMEM106C
2390,ABLIM1
2391,RTCB
2392,OPA1
2393,TRIM4
2394,SMC1A
2395,PRR14
2396,VPS53
2397,WDR6
2398,SLC30A1
2399,PSMC2
2400,CCDC85B
2401,TMEM33
2402,PRMT1
2403,COL5A2
2404,KLF3
2405,BOD1L1
2406,FBXW5
2407,SCFD1
2408,NAB2
2409,RHBDD2
2410,RC3H2
2411,SRC
2412,SERPINE1
2413,HSBP1
2414,GPS1
2415,TOMM5
2416,COL8A1
2417,TEN1
2418,SREBF1
2419,ATP6V1E1
2420,ZNF532
2421,CREBBP
2422,ATOX1
2423,MCAM
2424,TTC37
2425,TAF1D
2426,EPB41L5
2427,ACTR10
2428,SERPINF1
2429,RAPGEF2
2430,JPT2
2431,IER5
2432,SRSF9
2433,VDAC3
2434,ZDHHC7
2435,BABAM1
2436,HTATIP2
2437,CAMSAP2
2438,MTR
2439,RETREG3
2440,RNF103
2441,NOP58
2442,ACAP3
2443,SPATA20
2444,SIGIRR
2445,KPNA1
2446,E2F4
2447,IP6K2
2448,ACAT1
2449,DDB1
2450,EMILIN1
2451,SHTN1
2452,AP2A2
2453,CSGALNACT2
2454,PSMB4
2455,GSK3B
2456,BAIAP2
2457,MGAT4A
2458,STK11
2459,KIF1C
2460,UBE2H
2461,CAP1
2462,OTULIN
2463,CDS2
2464,CHD8
2465,ARFRP1
2466,ZNRF2
2467,CCM2
2468,CAPS
2469,HSPA5
2470,PLSCR4
2471,MIF
2472,IFI44L
2473,AP3B1
2474,CD82
2475,ERP44
2476,SRA1
2477,RMND5A
2478,DDX6
2479,PAWR
2480,CLDND1
2481,C11orf54
2482,ITGA5
2483,RFX5
2484,LRP5
2485,N4BP1
2486,AFTPH
2487,MAOA
2488,PIEZO1
2489,CNST
2490,FBXO9
2491,ARRDC1
2492,CMTM6
2493,SLMAP
2494,RAB5IF
2495,IFITM2
2496,CD53
2497,PEX13
2498,CRLS1
2499,DR1
2500,CSF1R
2501,HMBOX1
2502,IRF9
2503,GHITM
2504,PER1
2505,BMP2K
2506,NSF
2507,MED4
2508,TUBGCP6
2509,GID8
2510,ENOSF1
2511,ZNF655
2512,MID1IP1
2513,TCF12
2514,PIKFYVE
2515,MTMR12
2516,ACIN1
2517,RNPC3
2518,RASSF4
2519,KDM1A
2520,PSMD9
2521,TAB2
2522,SEC22B
2523,LATS1
2524,ACTR1A
2525,PPP1R8
2526,PDK4
2527,RMDN3
2528,FUS
2529,CLTB
2530,VPS26A
2531,AGTPBP1
2532,MYH11
2533,RAB3IP
2534,MTA2
2535,GALNT1
2536,CDH1
2537,SLC5A3
2538,CDK2AP1
2539,NDE1
2540,PRKRA
2541,DEGS1
2542,PWWP3A
2543,TIA1
2544,FAM126A
2545,ENTPD1
2546,CERS2
2547,MICU1
2548,MAPK3
2549,NES
2550,NUCB2
2551,RARS2
2552,MAPK8IP3
2553,HAGH
2554,ZMYND11
2555,ACSL3
2556,EOGT
2557,BCL9L
2558,SLC39A7
2559,AIP
2560,PRPF8
2561,PSPC1
2562,ENTPD6
2563,PGGHG
2564,CRTC2
2565,STK40
2566,CABIN1
2567,XPR1
2568,IRF7
2569,OGFRL1
2570,XRN1
2571,KDM5B
2572,RPAIN
2573,SHOC2
2574,SNRPC
2575,TAOK2
2576,GOLGB1
2577,TNFSF12
2578,PRPF38A
2579,SFTA2
2580,PITRM1
2581,CLPTM1
2582,TRAK2
2583,ALAS1
2584,CRELD2
2585,MAP3K20
2586,CRYBG1
2587,ATG16L2
2588,PLAU
2589,BCL10
2590,MOB3A
2591,VPS54
2592,UGGT1
2593,RRAD
2594,SEC24C
2595,CCDC102B
2596,METTL17
2597,PHF14
2598,PPP2R2A
2599,STAM2
2600,TIMMDC1
2601,CLASRP
2602,SNTB2
2603,COX6B1
2604,NF2
2605,DEDD
2606,ZMYND8
2607,RHOU
2608,CSK
2609,TCEAL9
2610,CSNK1A1
2611,SUZ12
2612,ZC3H7B
2613,TCF21
2614,TP53INP1
2615,SHROOM3
2616,NRIP1
2617,AKT2
2618,PIM1
2619,ATP6V0C
2620,LLGL2
2621,SDCBP
2622,PIGT
2623,APPL2
2624,NUP107
2625,SPSB3
2626,GNL2
2627,PCBP1
2628,VKORC1L1
2629,RABEP1
2630,TRIM33
2631,RTKN2
2632,THADA
2633,THBS2
2634,POLR2C
2635,TPP2
2636,KCMF1
2637,AGO1
2638,TSC22D4
2639,ARMC8
2640,POLR2G
2641,MEIS1
2642,STX5
2643,BTN3A2
2644,RASSF3
2645,DMBT1
2646,ANKLE2
2647,GCHFR
2648,UBR2
2649,MCMBP
2650,NSMCE1
2651,AGO2
2652,MED8
2653,WDR13
2654,COG5
2655,FGFR1
2656,DAPK3
2657,NIN
2658,ZNF609
2659,ANAPC7
2660,ARHGAP1
2661,HDAC6
2662,UROD
2663,CD37
2664,BAG5
2665,GPR107
2666,UPP1
2667,CLIP4
2668,GUCY1A1
2669,WAPL
2670,UFM1
2671,WSB2
2672,MYO10
2673,RBM14
2674,MYC
2675,STK38
2676,CREM
2677,LIMK1
2678,RSPRY1
2679,IRX3
2680,ZDHHC9
2681,NDRG2
2682,SEC23B
2683,KPNA6
2684,MBNL2
2685,MAML1
2686,PMVK
2687,FOXP4
2688,TRPM7
2689,LMCD1
2690,TMEM9
2691,TTLL3
2692,TCEAL4
2693,TTC17
2694,IREB2
2695,PRKCZ
2696,SLC44A4
2697,CHMP4A
2698,NRAS
2699,RUFY3
2700,RAB8B
2701,FAM89B
2702,GTPBP1
2703,ARL1
2704,PARP4
2705,CLEC2D
2706,VPS52
2707,SNX13
2708,CCL5
2709,NARF
2710,THUMPD1
2711,ADAM17
2712,CYP27A1
2713,NUP188
2714,PTPRA
2715,TSC22D2
2716,SMARCA1
2717,MAP3K3
2718,LYST
2719,CNOT6
2720,POFUT2
2721,SHFL
2722,GEM
2723,SP1
2724,UBA7
2725,OGFR
2726,IRF2BPL
2727,PHLDB2
2728,UBA2
2729,RIOK3
2730,MLLT1
2731,SDF2L1
2732,SPRY4
2733,FAF1
2734,MTMR3
2735,HSPD1
2736,OXA1L
2737,INTS8
2738,AMOTL1
2739,PSMD6
2740,DRAM2
2741,EVI5
2742,YES1
2743,IER3
2744,TBX2
2745,STK38L
2746,PLAAT3
2747,ISG20
2748,EBNA1BP2
2749,EHD4
2750,MAPK1IP1L
2751,VTI1B
2752,COQ4
2753,MMP7
2754,NOTCH1
2755,DENND4A
2756,ARNT
2757,TOM1
2758,CFI
2759,HNRNPR
2760,ARHGAP4
2761,CMTR1
2762,FAM199X
2763,CTSK
2764,CDC5L
2765,ADGRG1
2766,KDM7A
2767,SRCAP
2768,PBX1
2769,CTNNB1
2770,PLOD1
2771,NUDCD3
2772,COA4
2773,TSN
2774,TSTD1
2775,TOR1AIP2
2776,CRYZ
2777,MANBA
2778,AZI2
2779,NUP160
2780,TRIM2
2781,TMEM68
2782,TIPARP
2783,ANAPC4
2784,GIGYF1
2785,EFNB2
2786,IRF8
2787,SUGT1
2788,FER
2789,RICTOR
2790,TRAF7
2791,RELA
2792,IFIT3
2793,AUTS2
2794,SH2B1
2795,FGD6
2796,ITPK1
2797,B3GNT2
2798,RPRD1A
2799,PQBP1
2800,C1RL
2801,IKBKG
2802,GYPC
2803,PLEKHH2
2804,CCT8
2805,TMEM165
2806,ERGIC2
2807,SH3GL1
2808,TWF2
2809,FMNL1
2810,VEZT
2811,PREPL
2812,DDX27
2813,APMAP
2814,NOP56
2815,PNKD
2816,CAMK2D
2817,SIL1
2818,THEMIS2
2819,CDC25B
2820,BTN3A1
2821,MCRIP1
2822,TSNAX
2823,EAPP
2824,CTBS
2825,PDE8A
2826,PHF12
2827,RBCK1
2828,AGPS
2829,RNF145
2830,NDUFB6
2831,ATP6V1G1
2832,PDCD10
2833,RALGDS
2834,TMEM167A
2835,MCTP2
2836,PAXX
2837,SUSD2
2838,DOT1L
2839,RBM42
2840,ARID4A
2841,RNF114
2842,MPP7
2843,AKAP12
2844,KIAA2013
2845,STAMBP
2846,IMMP2L
2847,GIMAP4
2848,ACYP2
2849,ELP2
2850,USP1
2851,PEX19
2852,LNPEP
2853,UBE4A
2854,NME4
2855,WWOX
2856,CP
2857,FRYL
2858,ECI2
2859,KIAA1191
2860,ARHGEF10L
2861,KAT2B
2862,KDSR
2863,COL16A1
2864,NPC1
2865,DGUOK
2866,SLC25A37
2867,SMARCD2
2868,ALG5
2869,BUD23
2870,MICAL1
2871,SRSF11
2872,DENND4C
2873,PSMD10
2874,SFXN3
2875,DHX30
2876,SAMD9L
2877,SCO2
2878,KIAA2026
2879,APOBEC3C
2880,TDP2
2881,LRRFIP1
2882,USP14
2883,TAPT1
2884,SLC12A4
2885,IFT20
2886,BSCL2
2887,ATXN7
2888,CLEC16A
2889,SLC4A2
2890,LSM7
2891,CYTIP
2892,CIR1
2893,GRIPAP1
2894,SMAD5
2895,ZNF292
2896,MYO15B
2897,PHF2
2898,CYLD
2899,CRK
2900,MEA1
2901,RYBP
2902,PPP3R1
2903,LRCH3
2904,PGLS
2905,KDELR2
2906,PAK4
2907,GTF3C1
2908,TRAPPC10
2909,VPS39
2910,GNG12
2911,DNAJA4
2912,TBC1D22A
2913,SLC29A1
2914,ARFGEF2
2915,NKTR
2916,SPCS3
2917,INTS3
2918,ROS1
2919,KANSL1L
2920,STXBP3
2921,RCOR1
2922,MED13L
2923,POLR3H
2924,SLC12A2
2925,ALG2
2926,PRXL2A
2927,ADGRL2
2928,NEU1
2929,ATG13
2930,PAM16
2931,PCDH1
2932,SLAIN2
2933,CYP20A1
2934,BRD8
2935,RAPGEF6
2936,UBAC1
2937,SGSM2
2938,EBAG9
2939,HYI
2940,RNF167
2941,PMF1
2942,SBF1
2943,ARHGAP17
2944,PXDN
2945,PKN1
2946,LRP6
2947,OAS2
2948,TMX4
2949,MAPK14
2950,ZBTB20
2951,DNM1L
2952,CDKN1A
2953,WWC3
2954,TMEM179B
2955,AMIGO2
2956,TMEM9B
2957,BCLAF3
2958,ZRANB1
2959,GORASP2
2960,TRIQK
2961,UPF1
2962,EIF3L
2963,DDX56
2964,DPY30
2965,SEC24D
2966,GIMAP7
2967,SYF2
2968,SAP30BP
2969,PITHD1
2970,DSE
2971,FAM174C
2972,FAM177A1
2973,RAB35
2974,STK3
2975,ABCA3
2976,NRP2
2977,RALGAPA2
2978,BCL7C
2979,GOLGA3
2980,RBFOX2
2981,COX11
2982,LZTS2
2983,RING1
2984,PAPSS1
2985,FCHSD2
2986,UBA1
2987,RAD23B
2988,PTPRJ
2989,ZNF331
2990,POLR2K
2991,NUP85
2992,MED13
2993,VAMP5
2994,KBTBD2
2995,NMT1
2996,CFB
2997,CPD
2998,PHLDA1
2999,SURF1
